dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,d,mar,0.05,0.42427,0.01581,15,8.4
bank,d,mar,0.1,0.42445,0.01579,15,8.6
bank,d,mar,0.2,0.42629,0.01598,15,8.6
bank,d,mar,0.3,0.42311,0.01618,15,9.4
bank,d,mar,0.5,0.41099,0.01765,15,55.4
bank,d,mnar,0.05,0.29253,0.00819,15,10.6
bank,d,mnar,0.1,0.29971,0.00882,15,10.2
bank,d,mnar,0.2,0.32684,0.00992,15,10.4
bank,d,mnar,0.3,0.32611,0.00975,15,10.2
bank,d,mnar,0.5,0.30012,0.01585,15,68.0
bank,d,outlier,0.01,0.39688,0.016,15,8.9
bank,d,outlier,0.05,0.37109,0.01573,15,8.9
bank,d,outlier,0.1,0.35897,0.01618,15,9.1
bank,d,outlier,0.2,0.341,0.01456,15,9.0
bank,d,label_noise,0.05,0.42811,0.01625,15,8.9
bank,d,label_noise,0.1,0.42809,0.01609,15,9.0
bank,d,label_noise,0.2,0.42638,0.01636,15,8.9
bank,d,label_noise,0.3,0.42174,0.01632,15,8.9
bank,e,baseline,0.0,0.40511,0.01213,15,0.0
bank,e,mcar,0.05,0.40478,0.0119,15,15.4
bank,e,mcar,0.1,0.40447,0.01197,15,16.1
bank,e,mcar,0.2,0.40355,0.01149,15,14.4
bank,e,mcar,0.3,0.40226,0.01153,15,13.9
bank,e,mcar,0.5,0.36383,0.01214,15,51.1
bank,e,mar,0.05,0.40301,0.0118,15,14.8
bank,e,mar,0.1,0.40008,0.01184,15,14.7
bank,e,mar,0.2,0.39993,0.01208,15,14.5
bank,e,mar,0.3,0.40083,0.01253,15,14.1
bank,e,mar,0.5,0.32595,0.01189,15,52.4
bank,e,mnar,0.05,0.2227,0.01153,15,11.2
bank,e,mnar,0.1,0.24367,0.01036,15,10.8
bank,e,mnar,0.2,0.3164,0.00926,15,10.9
bank,e,mnar,0.3,0.32149,0.0087,15,10.7
bank,e,mnar,0.5,0.23305,0.0112,15,61.2
bank,e,outlier,0.01,0.40685,0.0125,15,29.9
bank,e,outlier,0.05,0.39708,0.01343,15,36.4
bank,e,outlier,0.1,0.38297,0.01382,15,44.4
bank,e,outlier,0.2,0.35396,0.01399,15,44.5
bank,e,label_noise,0.05,0.40487,0.01244,15,15.9
bank,e,label_noise,0.1,0.40463,0.01274,15,14.7
bank,e,label_noise,0.2,0.40066,0.01293,15,15.3
bank,e,label_noise,0.3,0.39334,0.01709,15,14.2
bank,f,baseline,0.0,0.47606,0.01492,15,0.0
bank,f,mcar,0.05,0.47348,0.01469,15,139.9
bank,f,mcar,0.1,0.47073,0.01409,15,120.9
bank,f,mcar,0.2,0.46503,0.01237,15,128.7
bank,f,mcar,0.3,0.45787,0.01178,15,133.4
bank,f,mcar,0.5,0.44652,0.01359,15,134.0
